=== MATCH SCHEDULE FOR SUNDAY ===
03:35 PM - 04:05 PM | DWD110 | Court 2
03:35 PM - 04:00 PM | DWD63  | Court 14
03:40 PM - 04:10 PM | BMD54  | Court 3
03:40 PM - 04:05 PM | BMD31  | Court 4
03:45 PM - 04:15 PM | CMD110 | Court 9
03:45 PM - 04:15 PM | AMD54  | Court 6
03:45 PM - 04:15 PM | CWD54  | Court 10
03:45 PM - 04:10 PM | CMD63  | Court 13
03:55 PM - 04:25 PM | ABWD12 | Court 5
03:55 PM - 04:20 PM | AMD31  | Court 7
03:55 PM - 04:20 PM | CWD31  | Court 15
