=== MATCH SCHEDULE FOR SATURDAY ===
04:40 PM - 04:50 PM | CXD72  | Court 16
04:40 PM - 04:50 PM | CXD80  | Court 17
04:40 PM - 04:50 PM | CXD81  | Court 18
04:40 PM - 04:50 PM | CXD82  | Court 19
04:40 PM - 04:50 PM | CXD83  | Court 6
04:45 PM - 04:55 PM | CXD84  | Court 1
04:45 PM - 04:55 PM | CXD85  | Court 2
04:45 PM - 04:55 PM | CXD86  | Court 3
04:45 PM - 04:55 PM | CXD87  | Court 4
04:45 PM - 04:55 PM | CXD89  | Court 9
04:45 PM - 04:55 PM | CXD90  | Court 10
04:45 PM - 04:55 PM | CXD91  | Court 11
04:45 PM - 04:55 PM | CXD92  | Court 12
04:50 PM - 05:00 PM | CXD93  | Court 13
04:50 PM - 05:00 PM | CXD94  | Court 14
04:50 PM - 05:00 PM | CXD95  | Court 15
04:50 PM - 05:00 PM | DXD65  | Court 16
04:50 PM - 05:00 PM | DXD67  | Court 17
04:50 PM - 05:00 PM | DXD69  | Court 18
04:50 PM - 05:00 PM | DXD70  | Court 19
04:50 PM - 05:00 PM | DXD71  | Court 6
04:50 PM - 05:00 PM | DXD72  | Court 7
04:50 PM - 05:00 PM | DXD73  | Court 8
04:55 PM - 05:05 PM | DXD74  | Court 1
04:55 PM - 05:05 PM | DXD76  | Court 2
04:55 PM - 05:05 PM | DXD78  | Court 3
04:55 PM - 05:05 PM | DXD80  | Court 4
04:55 PM - 05:05 PM | DXD82  | Court 9
04:55 PM - 05:05 PM | DXD84  | Court 10
04:55 PM - 05:05 PM | DXD91  | Court 11
04:55 PM - 05:05 PM | DXD93  | Court 12
04:55 PM - 05:05 PM | DXD95  | Court 5
05:00 PM - 05:25 PM | CWS9   | Court 13
05:00 PM - 05:25 PM | CWS12  | Court 14
05:00 PM - 05:25 PM | AXD10  | Court 6
05:00 PM - 05:25 PM | AXD11  | Court 7
05:00 PM - 05:25 PM | AMS9   | Court 8
05:00 PM - 05:25 PM | DWS25  | Court 15
05:00 PM - 05:25 PM | DWS26  | Court 16
05:00 PM - 05:25 PM | DWS27  | Court 17
05:00 PM - 05:25 PM | DWS28  | Court 18
05:00 PM - 05:25 PM | CMS121 | Court 19
05:05 PM - 05:30 PM | CMS122 | Court 1
05:05 PM - 05:30 PM | CMS123 | Court 2
05:05 PM - 05:30 PM | CMS124 | Court 3
05:05 PM - 05:30 PM | CWS10  | Court 4
05:05 PM - 05:30 PM | CWS11  | Court 9
05:05 PM - 05:30 PM | AWS3   | Court 5
05:05 PM - 05:30 PM | BMS25  | Court 10
05:05 PM - 05:30 PM | BMS26  | Court 11
05:05 PM - 05:30 PM | BMS27  | Court 12
05:25 PM - 05:50 PM | AWS4   | Court 6
05:25 PM - 05:50 PM | BMS28  | Court 7
05:25 PM - 05:50 PM | DMS121 | Court 13
05:25 PM - 05:50 PM | DMS122 | Court 14
05:25 PM - 05:50 PM | DMS123 | Court 15
05:25 PM - 05:50 PM | DMS124 | Court 16
05:25 PM - 05:50 PM | CXD57  | Court 17
05:25 PM - 05:50 PM | CXD58  | Court 18
05:25 PM - 05:50 PM | CXD59  | Court 19
05:25 PM - 05:50 PM | CXD60  | Court 8
05:30 PM - 05:55 PM | AXD9   | Court 5
05:30 PM - 05:55 PM | DXD57  | Court 1
05:30 PM - 05:55 PM | DXD58  | Court 2
05:30 PM - 05:55 PM | DXD59  | Court 3
05:30 PM - 05:55 PM | DXD60  | Court 4
05:30 PM - 05:55 PM | BXD25  | Court 9
05:30 PM - 05:55 PM | BXD26  | Court 10
05:30 PM - 05:55 PM | BXD27  | Court 11
05:30 PM - 05:55 PM | BXD28  | Court 12
05:50 PM - 06:15 PM | AXD12  | Court 6
05:50 PM - 06:15 PM | AMS10  | Court 7
05:50 PM - 06:15 PM | AMS11  | Court 8
05:50 PM - 06:00 PM | DWS35  | Court 13
05:50 PM - 06:00 PM | DWS36  | Court 14
05:50 PM - 06:00 PM | DWS38  | Court 15
05:50 PM - 06:00 PM | DWS40  | Court 16
05:50 PM - 06:00 PM | DWS41  | Court 17
05:50 PM - 06:00 PM | DWS42  | Court 18
05:50 PM - 06:00 PM | DWS45  | Court 19
05:55 PM - 06:20 PM | AMS12  | Court 5
05:55 PM - 06:05 PM | DWS47  | Court 1
05:55 PM - 06:05 PM | CMS208 | Court 2
05:55 PM - 06:05 PM | CMS209 | Court 3
05:55 PM - 06:05 PM | CMS210 | Court 4
05:55 PM - 06:05 PM | CMS211 | Court 9
05:55 PM - 06:05 PM | CMS212 | Court 10
05:55 PM - 06:05 PM | CMS213 | Court 11
05:55 PM - 06:05 PM | CMS214 | Court 12
06:00 PM - 06:10 PM | CMS215 | Court 13
06:00 PM - 06:10 PM | BMS35  | Court 14
06:00 PM - 06:10 PM | BMS36  | Court 15
06:00 PM - 06:10 PM | BMS38  | Court 16
06:00 PM - 06:10 PM | BMS40  | Court 17
06:00 PM - 06:10 PM | BMS41  | Court 18
06:00 PM - 06:10 PM | BMS42  | Court 19
06:05 PM - 06:15 PM | BMS45  | Court 1
06:05 PM - 06:15 PM | BMS47  | Court 2
06:05 PM - 06:15 PM | DMS208 | Court 3
06:05 PM - 06:15 PM | DMS209 | Court 4
06:05 PM - 06:15 PM | DMS210 | Court 9
06:05 PM - 06:15 PM | DMS211 | Court 10
06:05 PM - 06:15 PM | DMS212 | Court 11
06:05 PM - 06:15 PM | DMS213 | Court 12
06:10 PM - 06:20 PM | DMS214 | Court 13
06:10 PM - 06:20 PM | DMS215 | Court 14
06:10 PM - 06:20 PM | CXD96  | Court 15
06:10 PM - 06:20 PM | CXD97  | Court 16
06:10 PM - 06:20 PM | CXD98  | Court 17
06:10 PM - 06:20 PM | CXD99  | Court 18
06:10 PM - 06:20 PM | CXD100 | Court 19
06:15 PM - 06:25 PM | CXD101 | Court 1
06:15 PM - 06:25 PM | CXD102 | Court 2
06:15 PM - 06:25 PM | CXD103 | Court 3
06:15 PM - 06:25 PM | DXD96  | Court 4
06:15 PM - 06:25 PM | DXD97  | Court 9
06:15 PM - 06:25 PM | DXD98  | Court 10
06:15 PM - 06:25 PM | DXD99  | Court 11
06:15 PM - 06:25 PM | DXD100 | Court 12
06:15 PM - 06:25 PM | DXD101 | Court 6
06:15 PM - 06:25 PM | DXD102 | Court 7
06:15 PM - 06:25 PM | DXD103 | Court 8
06:20 PM - 06:30 PM | BXD41  | Court 13
06:20 PM - 06:30 PM | BXD42  | Court 14
06:20 PM - 06:30 PM | BXD43  | Court 15
06:20 PM - 06:30 PM | BXD44  | Court 16
06:20 PM - 06:30 PM | BXD45  | Court 17
06:20 PM - 06:30 PM | BXD46  | Court 18
06:20 PM - 06:45 PM | BWS5   | Court 5
06:20 PM - 06:30 PM | DWS48  | Court 19
06:25 PM - 06:50 PM | BWS6   | Court 1
06:25 PM - 06:50 PM | AWS5   | Court 6
06:25 PM - 06:35 PM | DWS49  | Court 2
06:25 PM - 06:35 PM | DWS50  | Court 3
06:25 PM - 06:35 PM | DWS51  | Court 4
06:25 PM - 06:35 PM | CMS216 | Court 9
06:25 PM - 06:35 PM | CMS217 | Court 10
06:25 PM - 06:35 PM | CMS218 | Court 11
06:25 PM - 06:35 PM | CMS219 | Court 12
06:25 PM - 06:35 PM | CWS17  | Court 7
06:25 PM - 06:35 PM | CWS18  | Court 8
06:30 PM - 06:40 PM | CWS20  | Court 13
06:30 PM - 06:40 PM | CWS23  | Court 14
06:30 PM - 06:40 PM | BMS48  | Court 15
06:30 PM - 06:40 PM | BMS49  | Court 16
06:30 PM - 06:40 PM | BMS50  | Court 17
06:30 PM - 06:40 PM | BMS51  | Court 18
06:30 PM - 06:40 PM | DMS216 | Court 19
06:35 PM - 06:45 PM | DMS217 | Court 2
06:35 PM - 06:45 PM | DMS218 | Court 3
06:35 PM - 06:45 PM | DMS219 | Court 4
06:35 PM - 06:45 PM | CXD104 | Court 9
06:35 PM - 06:45 PM | CXD105 | Court 10
06:35 PM - 06:45 PM | CXD106 | Court 11
06:35 PM - 06:45 PM | CXD107 | Court 12
06:35 PM - 06:45 PM | AXD21  | Court 7
06:35 PM - 06:45 PM | AXD22  | Court 8
06:40 PM - 06:50 PM | DXD104 | Court 13
06:40 PM - 06:50 PM | DXD105 | Court 14
06:40 PM - 06:50 PM | DXD106 | Court 15
06:40 PM - 06:50 PM | DXD107 | Court 16
06:40 PM - 06:50 PM | BXD48  | Court 17
06:40 PM - 06:50 PM | BXD49  | Court 18
06:40 PM - 06:50 PM | BXD50  | Court 19
06:45 PM - 06:55 PM | AMS17  | Court 2
06:45 PM - 06:55 PM | AMS18  | Court 3
06:45 PM - 06:55 PM | AMS19  | Court 4
06:45 PM - 06:55 PM | AMS20  | Court 9
